tSNE_1	tSNE_2
P8467_1001	3.33805312456031	-2.07040263223015
P8467_1002	-13.1103960096828	18.8254396857035
P8467_1003	2.08657866182469	-9.49683452071506
P8467_1004	7.76324465889157	-6.88950196259924
P8467_1005	-14.4674643919189	13.1121743675106
P8467_1006	5.40614555794109	-1.05333358449918
P8467_1007	15.2720934637989	-14.8921874206009
P8467_1008	1.04886531084597	13.2890243494509
P8467_1009	-15.9225431279736	16.8472152956609
P8467_1010	8.09540276843333	2.80671711266407
P8467_1011	12.6651076823716	-3.82286342235328
P8467_1012	5.14161487284003	-5.61984840557091
P8467_1013	-4.81262535127466	-9.46338974902085
P8467_1014	16.4703080079931	-10.618713175154
P8467_1015	-10.9261001991866	13.8744243289933
P8467_1016	-6.96007173932301	-11.284797533616
P8467_1017	-6.59529311296201	-9.89382089364192
P8467_1018	0.799663741897439	9.28044294553025
P8467_1019	0.246363576759331	-6.46716309697373
P8467_1020	-14.1440406306384	13.8323515141922
P8467_1021	3.90838655783311	-9.03577385956015
P8467_1022	-10.914555455364	13.1248327138092
P8467_1023	-13.3355076243658	14.3949673675089
P8467_1024	-5.69688208564104	13.8862145905017
P8467_1025	-11.6437364756934	19.8428336434778
P8467_1026	-6.89197637823225	-9.39824872366481
P8467_1027	-0.938862754492151	-4.31897615773264
P8467_1028	1.32191129288716	-4.34225354688902
P8467_1029	-7.87964391995179	18.4438678475102
P8467_1030	16.3639359632229	-9.72732187663016
P8467_1031	1.49161877540659	-0.648291148165229
P8467_1032	-11.1900769586859	15.7893371185661
P8467_1033	-0.0756094703873452	11.7202792262099
P8467_1034	5.02155319060859	-12.3701329892257
P8467_1035	13.0060515346027	-3.7089566170295
P8467_1036	-11.358007455767	17.753156492341
P8467_1037	-8.907644747861	19.3842922684389
P8467_1038	-0.720550862977138	-2.8386328868035
P8467_1039	-6.48439214929158	5.43152898724819
P8467_1040	16.4644784042625	-15.3190810585409
P8467_1041	13.9478018739617	-17.3177614408364
P8467_1042	0.376838247607761	11.5029196786078
P8467_1043	-4.47882601338784	-8.90923823099429
P8467_1044	1.40919285570933	-7.27189303884544
P8467_1045	9.20845396791495	-8.92620624090959
P8467_1046	0.486372193342211	12.9370592279389
P8467_1047	2.52397164302961	-0.491158242235984
P8467_1048	16.4615510488242	-14.7171217308749
P8467_1049	-5.26614289814505	-9.34800518033961
P8467_1050	-11.0255391318552	20.5695159596228
P8467_1051	-11.4754946717259	19.1823366443217
P8467_1052	6.30161605171448	0.732832303746433
P8467_1053	15.7777191107541	-10.7320518001328
P8467_1054	5.52546095765518	-7.82940017774899
P8467_1055	17.4628094546927	-10.5046773927981
P8467_1056	9.1511293863973	-8.88813931653823
P8467_1057	2.20910424456336	-8.88427811462794
P8467_1058	-1.44015636668107	-12.6704400202388
P8467_1059	-13.7625268985402	16.0271618348476
P8467_1060	2.03517361153438	-1.16873754367899
P8467_1061	17.4939006128829	-11.1922703533668
P8467_1062	-4.62868151152968	-13.6533920052152
P8467_1063	-5.41200271561805	13.8344800270931
P8467_1064	-14.5651740067525	16.5275543108993
P8467_1065	13.8193322415104	-17.2735272813321
P8467_1066	0.525742592036653	11.9973497517914
P8467_1067	-10.707782767437	17.8109899564416
P8467_1068	-13.9258648619449	16.3943231000792
P8467_1069	-13.2234522704897	17.0997145569689
P8467_1070	-2.34386088230008	-12.2171723423012
P8467_1071	-10.6137888232812	15.3952739640062
P8467_1072	8.15793830707939	-2.65697489861848
P8467_1073	4.73687503058537	3.01237236207619
P8467_1074	4.74762377678614	-0.321900641424655
P8467_1075	-11.9821915576109	17.3195475581115
P8467_1076	1.11650827729152	-4.83446306752774
P8467_1077	5.47058871045266	1.62877488736849
P8467_1078	-8.93414831726356	20.5869170587914
P8467_1079	-2.40547386241869	-10.7033743312749
P8467_1080	-8.29736411576969	17.1298020081342
P8467_1081	1.38859280406506	12.0574100565773
P8467_1082	7.807112397744	2.6296660476552
P8467_1083	-0.658281944395155	-2.83133778984456
P8467_1084	-13.9377723846054	15.3381261572934
P8467_1085	-12.3783936260545	15.9137402393447
P8467_1086	-5.97133889018273	4.77292092397409
P8467_1087	10.545273055424	-10.5849940878321
P8467_1088	-0.234796478856393	0.132917253166695
P8467_1089	3.0951410798113	-6.75619781109623
P8467_1090	3.9173466365095	-2.11465030804921
P8467_1091	2.42341741249033	12.6211113695102
P8467_1092	-13.2615954986203	18.8671740472194
P8467_1093	17.5394465416826	-11.8866546017568
P8467_1094	-4.78769777532165	3.43098847058971
P8467_1095	6.20858488878772	-1.45914441214279
P8467_1096	-12.242234014407	18.3311665956398
P8467_1097	1.48220706338867	-4.55006804217781
P8467_1098	-10.1493442611207	20.34090794628
P8467_1099	-8.60036627982153	16.4054278677811
P8467_1100	2.94230574412759	-4.30863602156459
P8467_1101	16.5822449912611	-12.0701665014584
P8467_1102	-9.53520327229978	16.6938883499695
P8467_1103	0.693289969518962	-5.25582263600917
P8467_1104	5.31876774499005	0.217705365467682
P8467_1105	4.47384357162855	-7.33878250532069
P8467_1106	-1.514352772144	12.1430666170115
P8467_1107	-0.113687274705541	11.2838513521321
P8467_1108	0.279251748234057	11.598343292763
P8467_1109	14.539149012677	-9.31788196929273
P8467_1110	16.7070833787396	-11.7150201643911
